date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2020-10-07,297,319,35603,2065647,2
2020-10-08,346,324,35927,2065647,2
2020-10-09,286,306,36233,2065647,2
2020-10-10,193,280,36513,2065647,2
2020-10-11,329,284,36797,2065647,2
2020-10-12,267,282,37079,2065647,2
2020-10-13,203,274,37353,2065647,2
2020-10-14,270,271,37624,2065647,2
2020-10-15,256,258,37882,2065647,2
2020-10-16,264,255,38137,2065647,2
2020-10-17,272,266,38403,2065647,2
2020-10-18,194,247,38650,2065647,2
2020-10-19,241,243,38893,2065647,2
2020-10-20,253,250,39143,2065647,2
2020-10-21,287,252,39395,2065647,2
2020-10-22,226,248,39643,2065647,2
2020-10-23,246,246,39889,2065647,2
2020-10-24,166,230,40119,2065647,2
2020-10-25,219,234,40353,2065647,2
2020-10-26,354,250,40603,2065647,2
2020-10-27,245,249,40852,2065647,2
2020-10-28,208,238,41090,2065647,2
2020-10-29,219,237,41327,2065647,2
2020-10-30,198,230,41557,2065647,2
2020-10-31,240,240,41797,2065647,2
2020-11-01,235,243,42040,2065647,2
2020-11-02,198,220,42260,2065647,2
2020-11-03,238,219,42479,2065647,2
2020-11-04,247,225,42704,2065647,2
2020-11-05,326,240,42944,2065647,2
2020-11-06,264,250,43194,2065647,2
2020-11-07,271,254,43448,2065647,2
2020-11-08,275,260,43708,2065647,2
2020-11-09,266,270,43978,2065647,2
2020-11-10,319,281,44259,2065647,2
2020-11-11,347,295,44554,2065647,2
2020-11-12,283,289,44843,2065647,2
2020-11-13,328,298,45141,2065647,2
2020-11-14,303,303,45444,2065647,2
2020-11-15,277,303,45747,2065647,2
2020-11-16,309,309,46056,2065647,2
2020-11-17,241,298,46354,2065647,2
2020-11-18,232,282,46636,2065647,2
2020-11-19,283,282,46918,2065647,2
2020-11-20,253,271,47189,2065647,2
2020-11-21,268,266,47455,2065647,2
2020-11-22,300,269,47724,2065647,2
2020-11-23,275,265,47989,2065647,2
2020-11-24,237,264,48253,2065647,2
2020-11-25,303,274,48527,2065647,2
2020-11-26,347,283,48810,2065647,2
2020-11-27,416,307,49117,2065647,2
2020-11-28,446,332,49449,2065647,2
2020-11-29,364,341,49790,2065647,2
2020-11-30,333,349,50139,2065647,2
2020-12-01,418,375,50514,2065647,2
2020-12-02,457,397,50911,2065647,2
2020-12-03,452,412,51323,2065647,2
2020-12-04,500,424,51747,2065647,2
2020-12-05,518,435,52182,2065647,2
2020-12-06,482,451,52633,2065647,2
2020-12-07,461,470,53103,2065647,2
2020-12-08,531,486,53589,2065647,2
2020-12-09,590,505,54094,2065647,2
2020-12-10,548,519,54613,2065647,2
2020-12-11,646,539,55152,2065647,2
2020-12-12,730,570,55722,2065647,2
2020-12-13,564,581,56303,2065647,2
2020-12-14,678,612,56915,2065647,2
2020-12-15,554,616,57531,2065647,2
2020-12-16,701,632,58163,2065647,2
2020-12-17,929,686,58849,2065647,2
2020-12-18,812,710,59559,2065647,2
2020-12-19,699,705,60264,2065647,2
2020-12-20,652,718,60982,2065647,2
2020-12-21,755,729,61711,2065647,2
2020-12-22,760,758,62469,2065647,2
2020-12-23,701,758,63227,2065647,2
2020-12-24,878,751,63978,2065647,2
2020-12-25,945,770,64748,2065647,2
2020-12-26,756,778,65526,2065647,2
2020-12-27,802,800,66326,2065647,2
2020-12-28,843,812,67138,2065647,2
2020-12-29,999,846,67984,2065647,2
2020-12-30,933,879,68863,2065647,2
2020-12-31,743,860,69723,2065647,2
2021-01-01,1231,901,70624,2065647,2
2021-01-02,924,925,71549,2065647,2
2021-01-03,791,923,72472,2065647,2
2021-01-04,770,913,73385,2065647,2
2021-01-05,822,888,74273,2065647,2
2021-01-06,1094,911,75184,2065647,2
2021-01-07,1278,987,76171,2065647,2
2021-01-08,1047,961,77132,2065647,2
2021-01-09,820,946,78078,2065647,2
2021-01-10,778,944,79022,2065647,2
2021-01-11,565,915,79937,2065647,2
2021-01-12,861,920,80857,2065647,2
2021-01-13,731,869,81726,2065647,2
2021-01-14,818,803,82529,2065647,2
2021-01-15,714,755,83284,2065647,2
2021-01-16,880,764,84048,2065647,2
2021-01-17,582,736,84784,2065647,2
2021-01-18,471,722,85506,2065647,2
2021-01-19,638,691,86197,2065647,2
2021-01-20,671,682,86879,2065647,2
2021-01-21,765,674,87553,2065647,2
2021-01-22,616,660,88213,2065647,2
2021-01-23,563,615,88828,2065647,2
2021-01-24,430,593,89421,2065647,2
2021-01-25,506,598,90019,2065647,2
2021-01-26,595,592,90611,2065647,2
2021-01-27,455,561,91172,2065647,2
2021-01-28,574,534,91706,2065647,2
2021-01-29,499,517,92223,2065647,2
2021-01-30,558,517,92740,2065647,2
2021-01-31,389,511,93251,2065647,2
2021-02-01,470,506,93757,2065647,2
2021-02-02,561,501,94258,2065647,2
2021-02-03,485,505,94763,2065647,2
2021-02-04,526,498,95261,2065647,2
2021-02-05,554,506,95767,2065647,2
2021-02-06,509,499,96266,2065647,2
2021-02-07,406,502,96768,2065647,2
2021-02-08,333,482,97250,2065647,2
2021-02-09,450,466,97716,2065647,2
2021-02-10,549,475,98191,2065647,2
2021-02-11,474,468,98659,2065647,2
